Position,Track.Name,Artist,Streams,URL,Date,ID
1,rockstar,Post Malone,3962314,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,1/1/2018,7wGoVu4Dady5GV0Sv4UIsx
2,Havana,Camila Cabello,3314677,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,1/1/2018,0ofbQMrRDsUaVKq2mGLEAb
3,New Rules,Dua Lipa,2940488,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,1/1/2018,2ekn2ttSfGqwhhate0LSR0
4,Wolves,Selena Gomez,2509878,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,1/1/2018,7EmGUiUaOSGDnUUQUDrOXC
5,Shape of You,Ed Sheeran,2439876,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/1/2018,7qiZfU4dY1lWllzX7mPBI3
6,River (feat. Ed Sheeran),Eminem,2335284,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,1/1/2018,5UEnHoDYpsxlfzWLZIc7LD
7,Échame La Culpa,Luis Fonsi,2292752,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,1/1/2018,1zsG4eaZmkA1dvjDDsAGLK
8,What Lovers Do (feat. SZA),Maroon 5,2225476,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,1/1/2018,3hBBKuWJfxlIlnd9QFoC8k
9,Gucci Gang,Lil Pump,2119924,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,1/1/2018,43ZyHQITOjhciSUUNPVRHc
10,Him & I (with Halsey),G-Eazy,2085225,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,1/1/2018,5k38wzpLb15YgncyWdTZE4
11,Perfect,Ed Sheeran,2069562,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,1/1/2018,0tgVpDi06FyKpA1z0VMD4v
12,Despacito - Remix,Luis Fonsi,1929442,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,1/1/2018,5CtI0qwDJkDQGwXD1H1cLb
13,Let You Down,NF,1871252,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,1/1/2018,6mrKP2jyIQmM0rw6fQryjr
14,Corazón,Maluma,1799158,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,1/1/2018,4lESS6vuruP6a79KWRaQou
15,Silence,Marshmello,1786700,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,1/1/2018,7vGuf3Y35N4wmASOKLUVVU
16,Criminal,Natti Natasha,1729953,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,1/1/2018,6Za3190Sbw39BBC77WSS1C
17,Too Good At Goodbyes,Sam Smith,1713906,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,1/1/2018,1mXVgsBdtIVeCLJnSnmtdV
18,Young Dumb & Broke,Khalid,1713408,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,1/1/2018,5Z3GHaZ6ec9bsiI5BenrbY
