id,name,albumName,releaseDate,medImg,smallImg,artist1,artist1ID,artist2,artist2ID,artist3,artist3ID,artist4,artist4ID,artist5,artist5ID,artist6,artist6ID
6xy6jNeNTYwjnKTDzMyHw2,Zombie,No Need To Argue (The Complete Sessions 1994-1995),10/3/1994,https://i.scdn.co/image/7b82f46754f110c9862674855cc210e7becd38f9,https://i.scdn.co/image/96e955fa11971cadac6ff4f333f1c7818cb7f05f,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5lZZmityu9TAjNvSY6GLhR,Zack And Codeine,beerbongs & bentleys,4/27/2018,https://i.scdn.co/image/589602bd799134625caeb6f30b9084a2dd4b8689,https://i.scdn.co/image/9db0eca5601433870c2b1f027552450f2c96595f,Post Malone,246dkjvS1zLTtiykXe5h60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0D5CXSUx8GOCHSY8KWgi9h,Yuck,Bobby Tarantino II,3/9/2018,https://i.scdn.co/image/f0a1aec5e93f6487b19ae179d323813768c8545b,https://i.scdn.co/image/f3074aa781547e8db89a58fb9f664a35fba015fd,Logic,4xRYI6VqpkE3UwrDrAZL8L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3Wf2YGdYT8xVdNsQSoRKk9,Youth (feat. Khalid),Youth (feat. Khalid),5/3/2018,https://i.scdn.co/image/3d555bc0d6762d9a2287007353ade2ac4462aedf,https://i.scdn.co/image/4a0b9f1e91f224ed9bfc9a9820373ce780575759,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Khalid,6LuN9FCkKOj5PcnpouEgny,NA,NA,NA,NA,NA,NA,NA,NA
4c2W3VKsOFoIg2SFaO6DY5,Your Song,Your Song,5/25/2017,https://i.scdn.co/image/8b9f204b0c19f5874758da2ffc2a90ea86771d55,https://i.scdn.co/image/a819a787f9813518f30e198f205791547886cbf0,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55S2PQgSMYAhgoTCcGCDfw,Youngblood,Youngblood,4/12/2018,https://i.scdn.co/image/43a3f743ba37f31cebad8507d5d8196525bb2251,https://i.scdn.co/image/144a5daf5b65a46d11a6f7956e58dab652e68d72,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,American Teen,4/27/2017,https://i.scdn.co/image/3f2cc8df9f891830695c00446ce86bd892e60886,https://i.scdn.co/image/ee9853bb9b13357f12b691eaeac8b9a44c5c99d8,Khalid,6LuN9FCkKOj5PcnpouEgny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,Back In Black,7/25/1980,https://i.scdn.co/image/b7b31914e0c4951249fad37271248212c8ac3025,https://i.scdn.co/image/184dd6719f7c5317a08505d4d67795583adfb392,AC/DC,711MCceyCBcFnzjGY4Q7Un,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1USJRpWDFhxwhCajPXBeel,You Owe Me,Sick Boy...You Owe Me,2/16/2018,https://i.scdn.co/image/c466929867dad959ad2597dc6da682d6b6fcc182,https://i.scdn.co/image/56a128090e720bd581a116120ab6ed917507639d,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams - Remastered,Voices,1980,https://i.scdn.co/image/c2c30b6921377358d2c8f6042b7ac69f7e614edb,https://i.scdn.co/image/0cc680472a985c12b091b1c2a27d6d86f1c93f50,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7HC3sppue0re7HPfo5zscF,You Make Me,TRUE,1/1/2013,https://i.scdn.co/image/52478e15e1bedd838434c0122d5d9d31771a921e,https://i.scdn.co/image/475dc415c7119cffb8acb0a969a7caf5281f0946,Avicii,1vCWHaC5f2uS3yhpwWbIA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07qlsG6DYRLBbovwca9Vbr,You Let Me Walk Alone,Dreamer,5/4/2018,https://i.scdn.co/image/c2692749d00112531e1076b4d1330caee3953e39,https://i.scdn.co/image/548232959ca86d8c38117c980a7a7eaaf0f89243,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ZbJMlEL4Kcme0ONRO7Slx,You Can Cry,You Can Cry,5/4/2018,https://i.scdn.co/image/d76072f5ca739466bd27f42f3356fa1a38c6a92d,https://i.scdn.co/image/bfd092dfa503566d9c9a3042f213fe02bed8a5cc,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Juicy J,5gCRApTajqwbnHHPbr2Fpi,James Arthur,4IWBUUAFIplrNtaOHcJPRM,NA,NA,NA,NA,NA,NA
12ip0ceCeszDTDFxDY1AXJ,You Be Love (feat. Billy Raffoul),AVICI (01),8/9/2017,https://i.scdn.co/image/8eb9cfbaefa72ecf9a89eb0ef67199c14086f524,https://i.scdn.co/image/d93375e4cc7d175642d330ed0a4a48012475159f,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,NA,NA,NA,NA,NA,NA,NA,NA
2VgJDTfkuwlm7WIHnvtRCQ,You Are The Reason,Only Human (Deluxe),3/9/2018,https://i.scdn.co/image/4f556328de23c4f79ff8d3147bed4f4d17cf0f59,https://i.scdn.co/image/52874ecb305f67b0a8251bd6c937bbd8ed6ff1f6,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1wsf1YFQSYND45y0GzJmf7,Yes Indeed,Yes Indeed,5/15/2018,https://i.scdn.co/image/f1894ac386f5d03bfc14135eb38df608de77c85d,https://i.scdn.co/image/c54d57447a96a1d11313ffb876a93b370a4e3c13,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drake,3TVXtAsR1Inumwj472S9r4,NA,NA,NA,NA,NA,NA,NA,NA
69b0SDYOymaqYwm3la237H,Ye vs. the People (starring TI as the People),Ye vs. the People (starring TI as the People),4/28/2018,https://i.scdn.co/image/f1504af6a598cdadcf57e8f9baf044bb285c6f54,https://i.scdn.co/image/8e3332d98d9834f4844fd80d35af53f4aa6fbbb8,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7GX5flRQZVHRAGd6B4TmDO,XO TOUR Llif3,Luv Is Rage 2,8/25/2017,https://i.scdn.co/image/ead73f726959b82d78c41d28ca41edfef92b1c87,https://i.scdn.co/image/8bb4e383e30c9f5a938e40fe3d7f36a0dbd7d2f3,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0W2dRTfCkaanZgRimFEMay,XNX,Rockstar,1/19/2018,https://i.scdn.co/image/2c44100b9a95d99e096308176f8065e8128c7c65,https://i.scdn.co/image/9ecc54210719a1e5641b1a84622349f5f6cefa28,Sfera Ebbasta,23TFHmajVfBtlRx5MXqgoz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),Black Panther The Album Music From And Inspired By,2/9/2018,https://i.scdn.co/image/791e0e2d1fbcf301be91a65c625ac9f3dba6a392,https://i.scdn.co/image/32efc775eaa852674ab65e56d88ed8184a3158be,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,2 Chainz,17lzZA2AlOHwCwFALHttmp,Saudi,37Qsf5KCKljH7mL134xp4k,NA,NA,NA,NA,NA,NA
39N9RPD9MRb5WmoLzNzPeA,X,X,3/2/2018,https://i.scdn.co/image/88c838bd6ae50086746fc4408c9675d27e4ba402,https://i.scdn.co/image/d02ce42fe8089342fbf1201dcc7e9b82ffc2272e,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,NA,NA,NA,NA,NA,NA,NA,NA
